item_name,survey,study,year,prop_r_correct,prop_d_correct,dem_minus_rep,std.error,statistic,p.value,n_dem,n_rep,prop_correct_all
jnj_131,jnj,Jerit & Barabas,-1,0.27522935779816354,0.29213483146067265,0.016905473662509097,0.034586506349197084,0.4887881271333308,0.6251490728811888,356,327,0.28404099560761187
jnj_132,jnj,Jerit & Barabas,-1,0.5454545454545443,0.5512465373961205,0.005791991941576209,0.03763334636355599,0.1539058441846446,0.8777283350205276,361,341,0.5484330484330472
jnj_133,jnj,Jerit & Barabas,-1,0.2258064516129028,0.27700831024930705,0.051201858636404224,0.032781665686536315,1.561905338368246,0.1187622473278364,361,341,0.2521367521367517
jnj_134,jnj,Jerit & Barabas,-1,0.28445747800586507,0.2908587257617716,0.006401247755906517,0.034234976280740625,0.18697976313503772,0.8517306785932236,361,341,0.2877492877492871
jnj_136,jnj,Jerit & Barabas,-1,0.3098901098901098,0.355658198614319,0.045768088724209226,0.031619789022473234,1.4474507939215004,0.14812443593658836,433,455,0.33220720720720714
jnj_138,jnj,Jerit & Barabas,-1,0.23296703296703386,0.18937644341801374,-0.043590589549020106,0.02741844678293105,-1.5898270932019676,0.11223052333693145,433,455,0.21171171171171224
jnj_139,jnj,Jerit & Barabas,-1,0.34375000000000017,0.45086705202312116,0.10711705202312097,0.04030523736743924,2.6576459790224667,0.008078497192937061,346,256,0.4053156146179404
jnj_140,jnj,Jerit & Barabas,-1,0.2304687500000001,0.2543352601156062,0.02386651011560608,0.03546229551374546,0.6730108632238778,0.501199505714116,346,256,0.24418604651162756
jnj_141,jnj,Jerit & Barabas,-1,0.476562500000004,0.6242774566474006,0.14771495664739664,0.04052954397610902,3.6446241964743122,2.9099930880176694e-4,346,256,0.5614617940199367
jnj_142,jnj,Jerit & Barabas,-1,0.35937499999999967,0.4421965317919077,0.08282153179190806,0.04042684118379922,2.0486768039917553,0.04092824662710318,346,256,0.40697674418604673
jnj_143,jnj,Jerit & Barabas,-1,0.24999999999999964,0.401734104046241,0.15173410404624135,0.0385446023693215,3.9365850137037572,9.233808714769924e-5,346,256,0.3372093023255806
jnj_154,jnj,Jerit & Barabas,-1,0.7558139534883721,0.827586206896552,0.07177225340817997,0.05729471157811541,1.2526854823298295,0.21178290768599528,116,86,0.7970297029702972
jnj_155,jnj,Jerit & Barabas,-1,0.6976744186046512,0.7155172413793103,0.017842822774659133,0.06501582057771779,0.27443816929650844,0.7840311748849017,116,86,0.7079207920792079
jnj_156,jnj,Jerit & Barabas,-1,0.23255813953488383,0.18103448275862064,-0.0515236567762632,0.05740354362387292,-0.8975692705290689,0.37049443382533254,116,86,0.20297029702970304
jnj_157,jnj,Jerit & Barabas,-1,0.22093023255813943,0.1206896551724137,-0.10024057738572573,0.05239243870662864,-1.9132642011001368,0.057142435157725525,116,86,0.1633663366336634
jnj_159,jnj,Jerit & Barabas,-1,0.42261904761904723,0.389784946236557,-0.03283410138249022,0.03698249699263276,-0.8878281363486912,0.3749355661078315,372,336,0.4053672316384168
jnj_160,jnj,Jerit & Barabas,-1,0.31547619047619085,0.33064516129032334,0.015168970814132463,0.0352521083634244,0.4302996761995357,0.6671089812239211,372,336,0.3234463276836164
jnj_161,jnj,Jerit & Barabas,-1,0.29464285714285743,0.24193548387096853,-0.052707373271888895,0.033281360396946486,-1.5836904694774652,0.11371199439901579,372,336,0.26694915254237356
jnj_166,jnj,Jerit & Barabas,-1,0.21451104100946378,0.18781725888324813,-0.026693782126215634,0.030189792736259963,-0.8841989197943255,0.37688857638174944,394,317,0.19971870604781952
jnj_167,jnj,Jerit & Barabas,-1,0.6687697160883351,0.5964467005076215,-0.07232301558071365,0.0364040243045283,-1.986676389833016,0.04734278025752843,394,317,0.6286919831223696
jnj_168,jnj,Jerit & Barabas,-1,0.22397476340693936,0.22842639593908587,0.0044516325321465,0.03162185576882434,0.14077708040574008,0.8880860358520482,394,317,0.2264416315049221
jnj_169,jnj,Jerit & Barabas,-1,0.4447949526813902,0.30203045685279406,-0.14276449582859616,0.03599217116619766,-3.966543034299486,8.03311386853031e-5,394,317,0.36568213783403797
jnj_170,jnj,Jerit & Barabas,-1,0.44736842105263513,0.495821727019502,0.04845330596686688,0.03773152058656415,1.2841599069855845,0.19951147168621172,359,342,0.47218259629101655
jnj_171,jnj,Jerit & Barabas,-1,0.22514619883040923,0.23676880222841404,0.011622603398004812,0.03189420454466767,0.3644111387611946,0.7156612295472637,359,342,0.231098430813125
jnj_172,jnj,Jerit & Barabas,-1,0.7843866171003712,0.7684887459807067,-0.015897871119664484,0.034775964167588824,-0.45715112435275884,0.6477341931584937,311,269,0.7758620689655167
jnj_173,jnj,Jerit & Barabas,-1,0.40520446096654245,0.3472668810289389,-0.057937579937603595,0.04028908453204235,-1.438046572925359,0.15096203131291072,311,269,0.3741379310344825
jnj_174,jnj,Jerit & Barabas,-1,0.15613382899628261,0.17363344051446966,0.01749961151818706,0.030989764750241757,0.5646900407028919,0.572503687764278,311,269,0.16551724137931056
jnj_175,jnj,Jerit & Barabas,-1,0.7249070631970269,0.6623794212218659,-0.06252764197516106,0.038440293200665346,-1.6266171969281127,0.10436344231721527,311,269,0.6913793103448284
jnj_176,jnj,Jerit & Barabas,-1,0.33085501858735955,0.26366559485530433,-0.0671894237320552,0.03792832636447683,-1.7714840113531594,0.07700710520118458,311,269,0.29482758620689536
jnj_179,jnj,Jerit & Barabas,-1,0.469924812030077,0.4314285714285735,-0.03849624060150354,0.04048698833880669,-0.950829937740886,0.34206483209693495,350,266,0.4480519480519498
jnj_180,jnj,Jerit & Barabas,-1,0.6466165413533894,0.6771428571428637,0.03052631578947428,0.038464949949343935,0.7936138180259076,0.42772686934822934,350,266,0.6639610389610455
jnj_181,jnj,Jerit & Barabas,-1,0.6992481203007586,0.7257142857142922,0.02646616541353369,0.03679092510052355,0.7193666737441474,0.4721887278219653,350,266,0.7142857142857211
